Customer ID,Customer Name,Customer Balance,Invoice Total,Invoice applied amount,Invoice exchange rate,Payment Total,Payment applied amount,Payment exchange rate,Credit Total,Credit applied amount,Credit exchange rate,Adjustment Total,Adjustment applied amount,Adjustment exchange rate
CUST-0001,Customer 0001,3486.58,3892.38,241.57,1.1371,3316.88,2375.22,0.8873,910.95,676.97,1.0237,1310.49,944.51,1.1211
CUST-0002,Customer 0002,-374.37,2250.5,1031.32,0.9786,2376.38,848.64,1.0652,237.72,214.32,1.1591,369.09,262.51,0.8164
CUST-0003,Customer 0003,4508.85,4307.13,555.75,1.1812,979.42,834.34,1.1067,1138.35,681.49,0.9112,733.45,148.67,1.1517
CUST-0004,Customer 0004,1130.44,3517.1,535.75,1.0603,2982.7,718.76,0.8667,312.86,165.37,0.8104,44.58,1.63,1.1874
CUST-0005,Customer 0005,42.53,561.47,355.01,0.8464,337.92,181.93,0.8175,121.92,108.53,1.1103,13.32,4.05,1.0969
CUST-0006,Customer 0006,1121.19,4880.55,1917.7,1.154,3097.67,570.4,0.9758,997.34,453.25,1.081,1058.18,166.28,0.848
CUST-0007,Customer 0007,-1154.7,3829.58,3530.31,0.9957,2359.94,1168.88,1.1096,1310.75,1063.77,1.0182,177.44,70.23,1.123
CUST-0008,Customer 0008,104.71,3951.72,1261.22,0.8567,443.0,67.54,1.0603,1708.29,91.99,1.1261,821.71,804.74,1.059
CUST-0009,Customer 0009,-1093.06,727.76,528.48,0.8611,318.02,51.39,1.0808,1565.67,2.02,1.136,1044.01,189.04,0.9355
CUST-0010,Customer 0010,-582.12,2306.89,1063.71,1.075,3003.35,1838.72,0.9611,1714.48,905.75,1.0352,48.35,15.42,1.1536
CUST-0011,Customer 0011,-1718.28,1916.91,1265.07,0.8189,1171.74,309.09,0.894,1520.14,111.9,1.1864,673.11,488.08,1.0262
CUST-0012,Customer 0012,-707.81,4641.15,2783.28,0.9146,3557.21,613.15,1.0127,1406.48,1373.49,1.0879,1026.23,522.54,1.1412
CUST-0013,Customer 0013,2621.15,3254.94,1538.88,0.8559,3048.29,2834.2,0.8817,20.28,0.11,1.0708,1334.6,58.63,1.068
CUST-0014,Customer 0014,-2658.23,4131.53,3925.21,0.9764,2792.76,120.1,1.0905,1252.2,899.27,0.9446,448.85,72.57,0.9154
CUST-0015,Customer 0015,983.3,2272.73,778.9,0.9657,1114.42,629.81,0.8788,240.96,58.65,0.8009,1461.32,1366.7,1.19
CUST-0016,Customer 0016,1048.52,1213.47,215.07,1.0088,2835.78,1554.76,0.9165,117.33,113.52,0.8964,1266.81,130.69,1.0284
